,Villagers,Tally
0,Marshal,26600.0
1,Raymond,24565.0
2,Sherb,17495.0
3,Zucker,15342.0
4,Judy,13054.0
5,Marina,11723.0
6,Stitches,10867.0
7,Ankha,10811.0
8,Audie,10551.0
9,Fauna,10248.0
10,Beau,9994.0
11,Dom,9864.0
12,Erik,9850.0
13,Merengue,9646.0
14,Merry,9622.0
15,Roald,9165.0
16,Bob,9158.0
17,Coco,8801.0
18,Lucky,8195.0
19,Lolly,7961.0
20,Molly,7866.0
21,Maple,7330.0
22,Diana,7155.0
23,Ketchup,6384.0
24,Cherry,5245.0
25,Poppy,5124.0
26,Julian,4896.0
27,Tangy,4883.0
28,Apollo,4840.0
29,Pietro,4789.0
30,Rosie,4549.0
31,Apple,4504.0
32,Goldie,4186.0
33,Tia,4120.0
34,Filbert,3994.0
35,Octavian,3959.0
36,Whitney,3842.0
37,Flora,3834.0
38,Bluebear,3770.0
39,Cookie,3642.0
40,Fang,3522.0
41,Punchy,3424.0
42,Skye,3282.0
43,Clay,3172.0
44,Melba,3134.0
45,Kiki,3087.0
46,Sprinkle,3077.0
47,Lily,2992.0
48,Aurora,2905.0
49,Flurry,2898.0
50,Pekoe,2803.0
51,Dobie,2779.0
52,Genji,2759.0
53,Kabuki,2587.0
54,Pashmina,2574.0
55,Ruby,2571.0
56,Zell,2495.0
57,Tabby,2447.0
58,Chevre,2428.0
59,Wolfgang,2375.0
60,Bam,2363.0
61,Kid Cat,2297.0
62,Agnes,2218.0
63,Bill,2189.0
64,Daisy,2039.0
65,Chrissy,1984.0
66,Kyle,1952.0
67,Muffy,1947.0
68,Hornsby,1941.0
69,Katt,1924.0
70,Reneigh,1879.0
71,Phoebe,1864.0
72,Bones,1848.0
73,Bianca,1799.0
74,Bunnie,1639.0
75,Gayle,1614.0
76,Shep,1584.0
77,Peanut,1571.0
78,June,1542.0
79,Static,1524.0
80,Sylvana,1519.0
81,Fuchsia,1507.0
82,Hamlet,1501.0
83,Ozzie,1486.0
84,Deirdre,1443.0
85,Antonio,1430.0
86,Mitzi,1403.0
87,Biskit,1398.0
88,Cheri,1397.0
89,Hazel,1384.0
90,Teddy,1366.0
91,Chief,1345.0
92,Henry,1330.0
93,Ellie,1327.0
94,Rudy,1315.0
95,Drago,1311.0
96,Wade,1282.0
97,Francine,1281.0
98,Barold,1256.0
99,Snake,1247.0
100,Lyman,1234.0
101,Cube,1227.0
102,Dotty,1221.0
103,Julia,1214.0
104,Alice,1206.0
105,Olivia,1203.0
106,Kidd,1182.0
107,Scoot,1181.0
108,Freya,1180.0
109,Lopez,1166.0
110,Roscoe,1158.0
111,Bea,1152.0
112,Dizzy,1151.0
113,Cranston,1146.0
114,Eugene,1139.0
115,Alfonso,1117.0
116,Agent S,1089.0
117,Papi,1054.0
118,Shari,1027.0
119,Felicity,1016.0
120,Sprocket,1014.0
121,Wendy,1005.0
122,Blaire,991.0
123,Nan,989.0
124,Jeremiah,985.0
125,Sydney,983.0
126,Tutu,974.0
127,Gala,967.0
128,Vesta,964.0
129,Megan,964.0
130,Joey,955.0
131,Mira,946.0
132,Bangle,938.0
133,Poncho,937.0
134,Vivian,935.0
135,Bruce,933.0
136,Lobo,924.0
137,Boomer,915.0
138,Maddie,915.0
139,Anabelle,899.0
140,Canberra,894.0
141,Tasha,864.0
142,Ribbot,854.0
143,Stella,853.0
144,Étoile,850.0
145,Flo,848.0
146,Raddle,844.0
147,Carmen,838.0
148,Puddles,837.0
149,Butch,836.0
150,Broccolo,825.0
151,Biff,824.0
152,Celia,814.0
153,Frita,804.0
154,Mint,803.0
155,Walker,802.0
156,Pinky,798.0
157,Blanche,798.0
158,Willow,777.0
159,Savannah,759.0
160,Margie,752.0
161,Freckles,745.0
162,O'Hare,742.0
163,Purrl,734.0
164,Nana,732.0
165,Rodney,727.0
166,Gladys,720.0
167,Cyd,714.0
168,Chadder,712.0
169,Rodeo,705.0
170,Tiffany,703.0
171,Moe,672.0
172,Tammy,672.0
173,Beardo,668.0
174,Chester,662.0
175,Deli,660.0
176,Caroline,655.0
177,Billy,653.0
178,Marcel,645.0
179,Piper,643.0
180,Norma,638.0
181,Amelia,636.0
182,Marty,635.0
183,Pompom,634.0
184,Phil,631.0
185,Pecan,631.0
186,Bella,628.0
187,Olive,627.0
188,Cole,616.0
189,Rolf,615.0
190,Anchovy,611.0
191,Diva,608.0
192,Gonzo,601.0
193,Rex,601.0
194,Mac,601.0
195,Tipper,593.0
196,Midge,590.0
197,Colton,586.0
198,Walt,585.0
199,Bertha,584.0
200,Jacques,578.0
201,Admiral,575.0
202,Axel,573.0
203,Eunice,573.0
204,Sterling,571.0
205,Weber,567.0
206,Renée,565.0
207,Hopkins,557.0
208,Stinky,557.0
209,Tom,552.0
210,Tank,549.0
211,Nibbles,547.0
212,Pate,546.0
213,Camofrog,541.0
214,Bubbles,538.0
215,Rod,532.0
216,Murphy,530.0
217,Sheldon,524.0
218,Hopper,524.0
219,Elvis,523.0
220,Al,522.0
221,Portia,520.0
222,Egbert,519.0
223,Tex,519.0
224,Ken,513.0
225,Patty,511.0
226,Annalisa,511.0
227,Hamphrey,508.0
228,Graham,503.0
229,Buck,503.0
230,Hugh,502.0
231,Chai,493.0
232,Benjamin,486.0
233,Goose,486.0
234,Jitters,485.0
235,Drake,466.0
236,Klaus,465.0
237,Ursala,465.0
238,Boots,465.0
239,Twiggy,462.0
240,Iggly,459.0
241,Nate,457.0
242,Stu,455.0
243,Gaston,449.0
244,Bonbon,448.0
245,Pierce,445.0
246,Drift,445.0
247,Pudge,440.0
248,Avery,436.0
249,Sally,434.0
250,Lionel,433.0
251,Grizzly,433.0
252,Wart Jr.,431.0
253,Sly,431.0
254,Flip,428.0
255,Bree,419.0
256,Yuka,418.0
257,Boone,414.0
258,Prince,412.0
259,Quillson,410.0
260,Tybalt,410.0
261,Jacob,409.0
262,Plucky,401.0
263,Spike,394.0
264,Coach,394.0
265,Deena,389.0
266,Keaton,388.0
267,Pango,387.0
268,Opal,383.0
269,Del,382.0
270,Cousteau,380.0
271,Doc,378.0
272,Marcie,375.0
273,Derwin,373.0
274,Pippy,372.0
275,Jay,370.0
276,Curlos,367.0
277,Hans,365.0
278,Olaf,365.0
279,Eloise,357.0
280,Tucker,354.0
281,Kitt,353.0
282,Cally,347.0
283,Big Top,346.0
284,Leopold,345.0
285,Puck,340.0
286,Winnie,340.0
287,Lucy,338.0
288,Anicotti,336.0
289,Vladimir,334.0
290,Mathilda,333.0
291,Hippeux,331.0
292,Sylvia,330.0
293,Ava,328.0
294,Curt,327.0
295,Benedict,327.0
296,Dora,324.0
297,Tad,324.0
298,Tammi,320.0
299,Paolo,320.0
300,Victoria,319.0
301,Frobert,317.0
302,Angus,316.0
303,Groucho,314.0
304,Knox,313.0
305,Leonardo,308.0
306,Cleo,304.0
307,Elmer,304.0
308,Kevin,304.0
309,Rowan,293.0
310,Simon,293.0
311,Jambette,292.0
312,Rocket,291.0
313,Gabi,288.0
314,Monique,287.0
315,Kody,287.0
316,Kitty,282.0
317,Penelope,282.0
318,Ed,280.0
319,Huck,278.0
320,Lucha,272.0
321,Boris,267.0
322,Baabara,266.0
323,Bud,260.0
