"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Acanthorutilus handlirschi","Cicek (minnow)","Fishes","Endangered","Wherever found"
"Accipiter fasciatus natalis","Christmas Island goshawk","Birds","Endangered","Wherever found"
"Accipiter francesii pusillus","Anjouan Island sparrowhawk","Birds","Endangered","Wherever found"
"Accipiter gentilis laingi","Queen Charlotte goshawk","Birds","Threatened","British Columbia, Canada"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Birds","Endangered","Wherever found"
"Achatinella spp.","Oahu tree snails","Snails","Endangered","Wherever found"
"Acinonyx jubatus","Cheetah","Mammals","Endangered","Wherever found"
"Acipenser brevirostrum","Shortnose sturgeon","Fishes","Endangered","Wherever found"
"Acipenser dabryanus","Yangtze Sturgeon","Fishes","Endangered","Wherever found"
"Acipenser medirostris","green sturgeon","Fishes","Threatened","Southern DPS - See 50 CFR 223.102"
"Acipenser mikadoi","Sakhalin sturgeon","Fishes","Endangered","Wherever found"
"Acipenser naccarii","Adriatic sturgeon","Fishes","Endangered","Wherever found"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Fishes","Threatened","Wherever found"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","Fishes","Endangered","Carolina DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","Fishes","Endangered","Chesapeake Bay DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","Fishes","Endangered","New York Bight DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","Fishes","Endangered","South Atlantic DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","Fishes","Threatened","Gulf of Maine DPS - See 50 CFR 223.102"
"Acipenser sinensis","Chinese sturgeon","Fishes","Endangered","Wherever found"
"Acipenser sturio","European sturgeon","Fishes","Endangered","Wherever found"
"Acipenser transmontanus","White sturgeon","Fishes","Endangered","U.S.A. (ID, MT), Canada (B.C.), (Kootenai R. system)"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Birds","Endangered","Wherever found"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Birds","Endangered","Wherever found"
"Acrocephalus percernis aquilonis","Eiao Marquesas reed-Warbler","Birds","Endangered","Wherever found"
"Acropora cervicornis","Staghorn coral","Corals","Threatened","Wherever found"
"Acropora globiceps","No common name","Corals","Threatened","Wherever found"
"Acropora jacquelinae","No common name","Corals","Threatened","Wherever found"
"Acropora lokani","No common name","Corals","Threatened","Wherever found"
"Acropora palmata","Elkhorn coral","Corals","Threatened","Wherever found"
"Acropora pharaonis","No common name","Corals","Threatened","Wherever found"
"Acropora retusa","No common name","Corals","Threatened","Wherever found"
"Acropora rudis","No common name","Corals","Threatened","Wherever found"
"Acropora speciosa","No common name","Corals","Threatened","Wherever found"
"Acropora tenella","No common name","Corals","Threatened","Wherever found"
"Addax nasomaculatus","Addax","Mammals","Endangered","Wherever found"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","Arachnids","Endangered","Wherever found"
"Aepyceros melampus petersi","Black-faced impala","Mammals","Endangered","Wherever found"
"Aerodramus vanikorensis bartschi","Mariana gray swiftlet","Birds","Endangered","Wherever found"
"Agelaius xanthomus","Yellow-shouldered blackbird","Birds","Endangered","Wherever found"
"Agelastes meleagrides","White-breasted guineafowl","Birds","Threatened","Wherever found"
