,scientificName,redlistCategory,populationTrend
0,Heosemys annandalii,Critically Endangered,Decreasing
1,Hubbsina turneri,Critically Endangered,Decreasing
2,Hungerfordia pelewensis,Endangered,Unknown
3,Ictalurus mexicanus,Vulnerable,Unknown
4,Indotestudo forstenii,Critically Endangered,Decreasing
5,Pangshura sylhetensis,Critically Endangered,Decreasing
6,Kubaryia pilikia,Critically Endangered,Unknown
7,Ameca splendens,Critically Endangered,Decreasing
8,Lamna nasus,Vulnerable,Decreasing
9,Lampsilis rafinesqueana,Endangered,Decreasing
10,Lampsilis abrupta,Vulnerable,Decreasing
11,Hamiota altilis,Endangered,Decreasing
12,Obovaria haddletoni,Critically Endangered,
13,Lemiox rimosus,Critically Endangered,Decreasing
14,Leptoxis taeniata,Endangered,Decreasing
15,Lepus castroviejoi,Vulnerable,Decreasing
16,Pleuronaia dolabelloides,Endangered,Decreasing
17,Lithognathus lithognathus,Endangered,Decreasing
18,Lucania interioris,Endangered,Unknown
19,Lutjanus cyanopterus,Vulnerable,Decreasing
20,Malaclemys terrapin,Vulnerable,Decreasing
21,Malacochersus tornieri,Critically Endangered,Decreasing
22,Manouria impressa,Endangered,Decreasing
23,Mantella aurantiaca,Endangered,Decreasing
24,Margaritifera marrianae,Endangered,Decreasing
25,Margaritifera hembeli,Critically Endangered,Decreasing
26,Medionidus parvulus,Endangered,Decreasing
27,Medionidus walkeri,Critically Endangered,Decreasing
28,Megalagrion jugorum,Critically Endangered,Unknown
29,Megalagrion oceanicum,Critically Endangered,Decreasing
30,Megalagrion pacificum,Endangered,Decreasing
31,Megalagrion xanthomelas,Endangered,Unknown
32,Megalagrion oahuense,Vulnerable,Unknown
33,Anhydrophryne rattrayi,Vulnerable,Unknown
34,Melanochelys tricarinata,Endangered,Decreasing
35,Menidia conchorum,Endangered,Decreasing
36,Mictocaris halope,Critically Endangered,Unknown
37,Telmatobius sanborni,Critically Endangered,Decreasing
38,Ctenophryne barbatula,Endangered,Unknown
39,Anodonthyla moramora,Endangered,Decreasing
40,Zhangixalus yinggelingensis,Vulnerable,Stable
41,Bolitoglossa gomezi,Endangered,Decreasing
42,Telmatobius punctatus,Endangered,Decreasing
43,Oreobates lehri,Endangered,Unknown
44,Plecotus sardus,Vulnerable,Decreasing
45,Uromys boeadii,Critically Endangered,Decreasing
46,Cryptocanthon nebulinus,Endangered,Unknown
47,Canthon corpulentus,Vulnerable,Unknown
48,Pachysoma aesculapius,Vulnerable,Unknown
49,Pachysoma endroedyi,Vulnerable,Unknown
50,Platyonitis bicuariensis,Vulnerable,Decreasing
51,Aulacopris matthewsi,Vulnerable,Unknown
52,Canthon quadripunctatus,Vulnerable,Unknown
53,Ontherus hadros,Vulnerable,Unknown
54,Ateuchus ambiguus,Endangered,Unknown
55,Clypeodrepanus striatus,Vulnerable,Unknown
56,Endroedyolus paradoxus,Endangered,Unknown
57,Canthon zuninoi,Vulnerable,Unknown
58,Pachysoma glentoni,Vulnerable,Unknown
59,Onthophagus aureofuscus,Endangered,Unknown
60,Canthonella gomezi,Endangered,Unknown
61,Cryptocanthon altus,Endangered,Unknown
62,Onoreidium howdeni,Endangered,Unknown
63,Onthophagus undulans,Vulnerable,Unknown
64,Dichotomius eucranioides,Endangered,Unknown
65,Proagoderus uluguru,Endangered,Decreasing
66,Pedaridium hirsutum,Vulnerable,Unknown
67,Cryptocanthon punctatus,Endangered,Unknown
68,Morenia ocellata,Endangered,Decreasing
69,Morenia petersi,Endangered,Decreasing
70,Neochanna burrowsius,Critically Endangered,Decreasing
71,Neochanna diversus,Endangered,Decreasing
72,Neochanna apoda,Endangered,Decreasing
73,Nilssonia formosa,Critically Endangered,Decreasing
74,Notochelys platynota,Vulnerable,Decreasing
75,Notropis aguirrepequenoi,Vulnerable,Unknown
76,Nyctalus azoreum,Vulnerable,Decreasing
77,Obovaria jacksoniana,Vulnerable,Decreasing
78,Mauremys sinensis,Critically Endangered,Decreasing
79,Ogmodon vitianus,Endangered,Decreasing
80,Ophisternon infernale,Endangered,Unknown
81,Sciades parkeri,Vulnerable,Decreasing
82,Orlitia borneensis,Critically Endangered,Decreasing
83,Ornithoptera aesacus,Vulnerable,Unknown
84,Euryoryzomys lamia,Vulnerable,Decreasing
85,Tarraconia rolani,Endangered,Unknown
86,Palaemonetes antrorum,Endangered,Unknown
87,Palaemonetes cummingi,Critically Endangered,Unknown
88,Palaemonias alabamae,Endangered,Unknown
89,Palaemonias ganteri,Vulnerable,Unknown
90,Palaina moussoni,Critically Endangered,Unknown
91,Palaina striolata,Critically Endangered,Unknown
92,Palaina wilsoni,Endangered,Unknown
93,Palea steindachneri,Critically Endangered,Decreasing
94,Pseudobatos percellens,Endangered,Decreasing
95,Carcharhinus acronotus,Endangered,Decreasing
96,Myliobatis goodei,Vulnerable,Decreasing
97,Alopias superciliosus,Vulnerable,Decreasing
98,Mobula hypostoma,Endangered,Decreasing
99,Pseudobatos lentiginosus,Vulnerable,Decreasing
100,Partula emersoni,Critically Endangered,Unknown
101,Partula guamensis,Critically Endangered,Unknown
102,Opisthoteuthis mero,Endangered,Decreasing
103,Opisthoteuthis massyae,Vulnerable,Decreasing
104,Cirroctopus hochbergi,Endangered,Decreasing
105,Cuora mouhotii,Endangered,Decreasing
106,Cyclemys oldhamii,Endangered,Decreasing
107,Centrochelys sulcata,Endangered,Decreasing
108,Cycloderma aubryi,Vulnerable,Decreasing
109,Batagur borneoensis,Critically Endangered,Decreasing
110,Alsophylax laevis,Critically Endangered,Decreasing
111,Pegias fabula,Critically Endangered,Decreasing
112,Islamia pseudorientalica,Critically Endangered,Unknown
113,Leguminaia saulcyi,Critically Endangered,Unknown
114,Margaritifera homsensis,Endangered,Unknown
115,Anodonta pseudodopsis,Endangered,Unknown
116,Pseudamnicola solitaria,Endangered,Decreasing
117,Gyraulus bekaensis,Vulnerable,Unknown
118,Heleobia galilaea,Vulnerable,Unknown
119,Stagnicola kayseris,Endangered,Unknown
120,Boophis baetkei,Critically Endangered,Decreasing
121,Pelochelys cantorii,Critically Endangered,Decreasing
122,Pelochelys bibroni,Vulnerable,Unknown
123,Leptobotia elongata,Vulnerable,Decreasing
124,Luciocyprinus langsoni,Vulnerable,Decreasing
125,Carassius cuvieri,Endangered,Decreasing
126,Verasper variegatus,Vulnerable,Decreasing
127,Samoana burchi,Critically Endangered,Unknown
128,Tlaloc hildebrandi,Endangered,Unknown
129,Vieja hartwegi,Endangered,Decreasing
130,Allotoca diazi,Critically Endangered,Decreasing
131,Chirostoma promelas,Endangered,Decreasing
132,Chirostoma attenuatum,Endangered,Decreasing
133,Zoogoneticus tequila,Endangered,Increasing
134,Herichthys steindachneri,Endangered,Unknown
135,Mastacembelus oatesii,Endangered,Unknown
136,Schistura spiesi,Vulnerable,Unknown
137,Oligodon meyerinkii,Endangered,Decreasing
138,Palinurus elephas,Vulnerable,Decreasing
139,Cheimerius matsubarai,Vulnerable,Unknown
140,Acanthopagrus vagus,Vulnerable,Decreasing
141,Chrysoblephus cristiceps,Critically Endangered,Decreasing
142,Polysteganus praeorbitalis,Vulnerable,Decreasing
143,Acanthopagrus sivicolus,Vulnerable,Decreasing
144,Cymatoceps nasutus,Vulnerable,Decreasing
145,Polysteganus undulosus,Critically Endangered,Increasing
146,Rhabdosargus globiceps,Vulnerable,Decreasing
147,Dentex dentex,Vulnerable,Unknown
148,Petrus rupestris,Endangered,Decreasing
149,Chrysoblephus gibbiceps,Endangered,Decreasing
150,Phocarctos hookeri,Endangered,Decreasing
151,Cyclemys atripons,Endangered,Decreasing
152,Cyclemys pulchristriata,Endangered,Decreasing
153,Chitra vandijki,Critically Endangered,Decreasing
154,Pelochelys signifera,Vulnerable,Decreasing
155,Mesoclemmys hogei,Critically Endangered,Decreasing
156,Gyralina ermonae,Vulnerable,Stable
157,Cryptella alegranzae,Critically Endangered,Decreasing
158,Zonites graecus,Endangered,Decreasing
159,Charpentieria spezialensis,Critically Endangered,Unknown
160,Macedonica martae,Critically Endangered,Decreasing
161,Zonites labiosus,Endangered,Decreasing
162,Albinaria vrondamasa,Vulnerable,Unknown
163,Amphorella hypselia,Vulnerable,Stable
164,Retinella osoriensis,Endangered,Unknown
165,Carpathica elisabethae,Vulnerable,Unknown
166,Oxychilus fuscosus,Endangered,Unknown
167,Zonites oertzeni,Endangered,Decreasing
168,Albinaria zilchi,Vulnerable,Unknown
169,Carinigera tantilla,Vulnerable,Unknown
170,Lehmannia medioflagellata,Vulnerable,Stable
171,Albinaria solicola,Vulnerable,Unknown
172,Carinigera octava,Vulnerable,Unknown
173,Carinigera pharsalica,Endangered,Unknown
174,Montenegrina stankovici,Vulnerable,Stable
175,Carinigera superba,Vulnerable,Unknown
176,Vermetum festinans,Critically Endangered,Unknown
177,Cibinia nana,Vulnerable,Unknown
178,Charpentieria grohmanniana,Endangered,Decreasing
179,Albinaria litoraria,Vulnerable,Unknown
180,Carinigera liebegottae,Vulnerable,Unknown
181,Doraegopis carinatus,Vulnerable,Stable
182,Janulus pompylius,Critically Endangered,Unknown
183,Idyla liebegottae,Vulnerable,Unknown
184,Carinigera pellucida,Endangered,Unknown
185,Sphincterochila insularis,Endangered,Unknown
186,Bulgarica moellendorffi,Vulnerable,Unknown
187,Gyralina pageti,Vulnerable,Unknown
188,Limax dobrogicus,Vulnerable,Stable
189,Carinigera lophauchena,Endangered,Unknown
190,Lindbergia gittenbergeri,Critically Endangered,Unknown
191,Doraegopis boeoticus,Endangered,Stable
192,Allaegopis subariedeli,Vulnerable,Unknown
193,Atlantica gomerensis,Critically Endangered,Unknown
194,Albinaria sublamellosa,Vulnerable,Unknown
195,Macedonica slavica,Vulnerable,Unknown
196,Arion iratii,Vulnerable,Decreasing
197,Vitrea zilchi,Endangered,Unknown
198,Gyralina tarabosensis,Vulnerable,Stable
199,Alopia meschendorferi,Vulnerable,Stable
200,Graecophaedusa sperrlei,Vulnerable,Unknown
201,Zonites messenicus,Endangered,Decreasing
202,Albinaria haessleini,Vulnerable,Unknown
203,Amphorella tuberculata,Endangered,Decreasing
204,Macedonica zilchi,Vulnerable,Decreasing
205,Macedonica guicciardii,Vulnerable,Unknown
206,Carinigera calabacensis,Vulnerable,Unknown
207,Macedonica brabeneci,Vulnerable,Unknown
208,Mediterranea pieperi,Vulnerable,Unknown
209,Protoherilla mirabilis,Vulnerable,Stable
210,Zonites kobelti,Endangered,Decreasing
211,Carinigera leucorhaphe,Vulnerable,Unknown
212,Janulus stephanophorus,Vulnerable,Unknown
213,Albinaria thiesseae,Vulnerable,Unknown
214,Gyralina tsatsae,Vulnerable,Stable
215,Hypnophila girottii,Vulnerable,Unknown
216,Doraegopis subaii,Vulnerable,Stable
217,Vitrea spelaea,Endangered,Unknown
218,Hypnophila emiliana,Vulnerable,Stable
219,Charpentieria eminens,Endangered,Decreasing
220,Zonites euboeicus,Endangered,Decreasing
221,Charpentieria leucophryna,Endangered,Unknown
222,Zonites algirus,Vulnerable,Stable
223,Cryptella famarae,Vulnerable,Decreasing
224,Gyralina hausdorfi,Vulnerable,Stable
225,Lindbergia spiliaenymphis,Vulnerable,Unknown
226,Macedonica pinteri,Vulnerable,Decreasing
227,Albinaria evelynae,Vulnerable,Unknown
228,Gyralina mljetica,Vulnerable,Stable
229,Albinaria compressa,Vulnerable,Unknown
230,Oxychilus farinesianus,Vulnerable,Unknown
231,Carinigera torifera,Vulnerable,Unknown
232,Oxychilus pilula,Endangered,Decreasing
233,Tsoukatosia liae,Vulnerable,Stable
234,Albinaria pelocarinata,Vulnerable,Unknown
235,Gyralina velkovrhi,Vulnerable,Unknown
236,Lehmannia vrancensis,Vulnerable,Stable
237,Charpentieria ferrox,Critically Endangered,Decreasing
238,Tandonia lagostana,Critically Endangered,Unknown
239,Albinaria cytherae,Vulnerable,Unknown
240,Xerotricha garachicoensis,Critically Endangered,Unknown
241,Albinaria idyllica,Vulnerable,Unknown
242,Doraegopis parnonicus,Vulnerable,Stable
243,Charpentieria nobilis,Endangered,Decreasing
244,Idyla pelobsoleta,Vulnerable,Unknown
245,Oxychilus amblyopus,Vulnerable,Unknown
246,Cryptella auriculata,Vulnerable,Decreasing
247,Carinigera drenovoensis,Critically Endangered,Unknown
248,Gyralina velasensis,Vulnerable,Stable
249,Carinigera septima,Vulnerable,Unknown
250,Bulgarica stolii,Vulnerable,Unknown
