,query,value
0,admiral animal crossing new horizons,436700
0,agnes animal crossing new horizons,408050
1,agnes house animal crossing,216150
0,animal crossing new horizons,801100
1,al animal crossing new horizons,676050
2,al from animal crossing,54150
0,alice animal crossing new horizons,170
0,alli animal crossing new horizons,439750
0,amelia animal crossing new horizons,703750
0,anchovy animal crossing new horizons,572200
1,anchovy price animal crossing,218250
0,ankha animal crossing video,567150
1,ankha zone,390200
2,egyptian cat animal crossing,211500
3,animal crossing ankha video twitter,210300
4,ankha animal crossing tiktok,151600
5,egyptian cat,144600
6,ankha animal crossing house,138900
7,animal crossing ankha meme,135900
8,raymond animal crossing,123950
9,how old is ankha animal crossing,85600
10,animal crossing egyptian cat video,65950
11,lolly animal crossing,57850
12,ankah,43750
13,ankha animal crossing age,43100
14,animal crossing characters,42850
15,how old is ankha from animal crossing,35250
16,camel by camel,21500
17,anka video,14300
18,pietro animal crossing,7000
19,ankha animal crossing new horizons,70
20,animal crossing cat,50
0,annalise animal crossing,221400
0,annalisa animal crossing,470000
0,antonio animal crossing new horizons,50
0,marshal animal crossing,121550
1,apollo animal crossing new horizons,130
0,apple villager animal crossing,161650
1,apple acnh,153550
2,apple from animal crossing,142850
3,animal crossing new horizons apple villager,40350
4,apple design animal crossing,70
5,animal crossing new horizons apple,60
6,animal crossing new horizons,50
7,animal crossing apple tree,40
0,astrid animal crossing new horizons,607300
0,audie animal crossing new horizons,683050
1,audie acnh,232650
2,raymond animal crossing,150800
3,audie animal crossing grandma,131400
4,audie personality animal crossing,101500
5,judy animal crossing,90100
0,aurora animal crossing new horizons,736300
1,animal crossing new horizons aurora borealis,181850
0,animal crossing new horizons avery,542600
0,axel animal crossing new horizons,465850
0,bam animal crossing new horizons,522450
1,bam from animal crossing,112500
0,bangle animal crossing new horizons,509750
0,barold animal crossing new horizons,494050
1,barold animal crossing house,274400
2,beardo animal crossing,109900
0,bea animal crossing new horizons,489050
0,animal crossing new horizons beau,561350
1,beau acnh,280750
2,erik animal crossing,126700
3,beau house animal crossing,100800
4,sherb animal crossing,75700
0,bella animal crossing new horizons,852900
0,benedict animal crossing new horizons,324400
0,bertha animal crossing new horizons,469850
0,animal crossing new horizons,716600
0,animal crossing new horizons bianca,405750
1,bianca house animal crossing,80600
2,animal crossing new horizons,40
0,bill wibbly animal crossing,407900
1,bill wibbly,316250
2,bill wilby animal crossing,113600
3,animal crossing new horizons,100
0,billy house animal crossing,178550
0,biskit animal crossing new horizons,566650
0,animal crossing new horizons bitty,261400
0,blaire animal crossing new horizons,254650
0,blanche animal crossing new horizons,408150
0,bluebear animal crossing new horizons,539150
1,bluebear house animal crossing,205000
0,raymond animal crossing,151350
1,animal crossing new horizons,1050
2,animal crossing new horizons bob,1000
3,animal crossing bob amiibo card,200
0,bonbon animal crossing new horizons,653350
0,bones animal crossing new horizons,569700
0,boots animal crossing new horizons,723100
1,animal crossing new horizons,615550
0,boris johnson,321450
0,bree animal crossing new horizons,207350
0,broccolo animal crossing new horizons,392250
0,bruce animal crossing new horizons,464750
0,animal crossing bubbles in water,858500
1,animal crossing new horizons bubbles,483200
2,animal crossing bubbles in ocean,463750
3,bubbles in the ocean animal crossing,267100
4,bubbles in the water animal crossing,249250
5,bubbles in sea animal crossing,158600
6,what are the bubbles in the water in animal crossing,106750
7,bubbles in the sea animal crossing,88750
8,what are the bubbles in the ocean in animal crossing,88550
9,what are the bubbles in the ocean animal crossing,53350
0,buck animal crossing new horizons,726350
0,bud animal crossing new horizons,773650
0,bunnie animal crossing new horizons,402800
0,butch animal crossing new horizons,473700
0,canberra animal crossing new horizons,326400
1,billy animal crossing,25000
0,carmen animal crossing new horizons,306400
0,carrie animal crossing new horizons,338400
0,cheri animal crossing new horizons,411450
1,cherry animal crossing,275350
0,cherry blossom recipes animal crossing,693500
1,animal crossing new horizons cherry blossom,684550
2,animal crossing cherry blossom petals,456200
3,cherry acnh,419750
4,how to get cherry blossom animal crossing,379900
5,cherry blossom trees animal crossing,302900
6,cherry blossom tree,282600
7,cherry blossom tree animal crossing,282000
8,cherry blossom diy animal crossing,256750
9,cherry blossom season animal crossing,248750
10,cherry blossom recipes animal crossing new horizons,198100
11,animal crossing cherry blossom event,129350
12,cherry blossom bonsai animal crossing,123450
13,how to get cherry blossom trees animal crossing,117150
14,cherry blossom items animal crossing,117050
15,cherry blossom bonsai,113450
16,cherry house animal crossing,107350
17,cherry blossom tree animal crossing new horizons,101300
18,how to get cherry blossom petals animal crossing,100400
19,how to get cherry blossom recipes animal crossing,96800
20,how to get cherry blossom recipes,95000
21,how to get cherry blossoms animal crossing,89250
22,animal crossing new horizons cherry blossom petals,87650
23,cherry salmon price animal crossing,82300
24,all cherry blossom recipes animal crossing,82200
0,chevre animal crossing new horizons,491050
1,animal crossing nan and chevre,88900
0,chops animal crossing new horizons,410550
0,chrissy animal crossing new horizons,720450
1,animal crossing chrissy and francine,606750
2,francine and chrissy animal crossing new horizons,46200
0,claudia animal crossing new horizons,481950
0,how to get clay animal crossing,994200
